Ake,Testulea gabonensis,0.76,
Akeche,Antiaris toxicaria,0.35,
Akede,Chlorophora excelsa,0.70,
Akewa,Testulea gabonensis,0.76,
Akewe,Testulea gabonensis,0.76,
Akkeja,Tabebuia serratifolia,0.99,
Akkekeja,Tabebuia serratifolia,0.99,
Aklam,Pometia pinnata,0.60,
Akle,Albizia procera,0.55,
Akleng parang,Albizia procera,0.55,
Ako,Antiaris toxicaria,0.35,
Ako,Pometia pinnata,0.60,
Akoga,Lophira alata,0.94,
Akogka,Lophira alata,0.94,
Akogo,Lophira alata,0.94,
Akok,Beilschmiedia mannii,0.62,
Akolodo,Brachystegia laurentii,0.57,
Akom,Terminalia superba,0.40,
Akot,Drypetes gossweileri,0.63,
Akpakosso,Mitragyna stipulosa,0.53,
Akpakpla,Lophira alata,0.94,
Akrod,Aleurites moluccana,0.14,
Akta Kasanj,Castanea sativa,0.51,
Akume,Pterocarpus soyauxii,0.64,
Akuyari,Cedrela odorata,0.39,
Akwa,Pometia pinnata,0.60,
Akwakwa,Oxystigma oxyphyllum,0.53,
Alahorre,Tabebuia serratifolia,0.99,
Alal,Pinus insularis,0.50,
Alalangad,Albizia procera,0.55,
Alamag,Aglaia gigantea,0.54,
Alamo Tremblon,Populus tremuloides,0.38,
Alan-che,Tabebuia serratifolia,0.99,
Alangilan,Canangium odoratum,0.28,
Alanipo,Pometia pinnata,0.60,
Ala-onni,Tabebuia serratifolia,0.99,
Ala-ore,Tabebuia serratifolia,0.99,
Alaska Cedar,Chamaecyparis nootkatensis,0.44,3
Alaska Cypress,Chamaecyparis nootkatensis,0.44,
Alaska Ground Cypress,Chamaecyparis nootkatensis,0.44,
Alaska Larch,Larix laricina,0.53,
Alaska Pine,Tsuga heterophylla,0.45,
Alaska Yellow Cedar,Chamaecyparis nootkatensis,0.44,
Albero di Paternoster,Melia azedarach,0.51,
Albizzia,Albizia procera,0.55,
Alcapro,Tabebuia serratifolia,0.99,
Alcarreto,Aspidosperma desmanthum,0.65,
Alcornoque,Mora excelsa,0.89,
Alder,Alnus glutinosa,0.41,
Alder,Alnus nepalensis,0.26,
