Bridelia aubrevillei,0.59
Musanga cecropioides,0.23
Dacryodes le testui,0.56
Hymenaea courbaril,0.83
Diospyros mindanaensis,0.78
Pometia pinnata,0.6
Mitragyna ciliata,0.52
Cordia collococea,0.5
Eschweilera sagotiana,0.9
Mesua ferrea,0.92
Beilschmiedia mannii,0.62
Beilschmiedia mannii,0.62
Chamaecyparis thyoides,0.32
Cedrela odorata,0.39
Mitragyna parvifolia,0.59
Piptadeniastrum africanum,0.63
Pouteria pomifera,0.84
Pouteria izabalensis,0.64
Alnus glutinosa,0.41
Alnus glutinosa,0.41
Alnus glutinosa,0.41
Loxopterygium sagotii,0.62
Manilkara bidentata,0.95
Manilkara bidentata,0.95
Araucaria cunninghamii,0.44
Casuarina equisetifolia,0.87
Acacia melanoxylon,0.54
Acacia melanoxylon,0.54
Cedrela toona,0.47
Callitris glauca,0.59
Eucalyptus hemiphloia,0.93
Flindersia pimenteliana,0.51
Flindersia pubescens,0.6
Eucalyptus obliqua,0.68
Casuarina equisetifolia,0.87
Cedrela toona,0.47
Cedrela toona,0.47
Grevillea robusta,0.54
Grevillea robusta,0.54
Quercus petraea,0.65
Quercus robur,0.57
Pinus strobus,0.35
Manilkara bidentata,0.95
Excoecaria agallocha,0.42
Hymenaea courbaril,0.83
Aleurites moluccana,0.14
Carpinus betulus,0.61
Morus mesozygia,0.71
Phoebe elongata,0.62
Turraeanthus africanus,0.51
Turraeanthus africanus,0.51
Poga oleosa,0.39
Millettia stuhlmannii,0.83
Pometia pinnata,0.6
Pometia pinnata,0.6
Pterygota bequaertii,0.53
Pterygota macrocarpa,0.54
Terminalia ivorensis,0.54
Millettia laurentii,0.81
Millettia laurentii,0.81
Anogeissus latifolia,0.66
Excoecaria agallocha,0.42
Morus mesozygia,0.71
Artocarpus hirsuta,0.52
Triplochiton scleroxylon,0.32
Triplochiton scleroxylon,0.32
Triplochiton scleroxylon,0.32
Lophira alata,0.94
Hymenaea courbaril,0.83
Tetragastris altissima,0.74
Tetragastris altissima,0.74
Afzelia bipindensis,0.62
Afzelia pachyloba,0.62
Afzelia quanzensis,0.62
Mitragyna stipulosa,0.53
Pterocarpus soyauxii,0.64
Shorea negrosensis,0.59
Virola koschnyi,0.51
Virola surinamensis,0.51
Virola surinamensis,0.51
Virola surinamensis,0.51
Virola surinamensis,0.51
Virola surinamensis,0.51
Virola surinamensis,0.51
Tieghemella heckelii,0.6
Tieghemella heckelii,0.6
Virola koschnyi,0.51
Virola surinamensis,0.51
Terminalia procera,0.54
Triplochiton scleroxylon,0.32
Intsia bijuga,0.65
Dipterocarpus grandiflorus,0.68
Xanthophyllum excelsum,0.67
Xanthophyllum excelsum,0.67
Populus ciliata,0.37
Diplodiscus paniculatus,0.62
Sandoricum vidalii,0.65
Shorea negrosensis,0.59
Lagerstroemia piriformis,0.67
Lagerstroemia piriformis,0.67
Tieghemella heckelii,0.6
Terminalia ivorensis,0.54
Terminalia ivorensis,0.54
Mitragyna ciliata,0.52
Mitragyna stipulosa,0.53
Terminalia ivorensis,0.54
Vitex cofassus,0.67
Terminalia ivorensis,0.54
Pometia pinnata,0.6
Terminalia ivorensis,0.54
Terminalia ivorensis,0.54
Anisoptera costata,0.52
Melia azedarach,0.51
Aglaia gigantea,0.54
Chlorophora excelsa,0.7
Melia azedarach,0.51
Mitragyna ciliata,0.52
Tieghemella heckelii,0.6
Mimusops heckelii,0.55
Tieghemella heckelii,0.6
Lophira alata,0.94
Shorea negrosensis,0.59
Manilkara bidentata,0.95
Manilkara bidentata,0.95
Manilkara bidentata,0.95
Manilkara bidentata,0.95
Manilkara bidentata,0.95
Anisoptera curtisii,0.52
Shorea guiso,0.75
Shorea plagata,0.75
Shorea guiso,0.75
Shorea plagata,0.75
Taxodium distichum,0.46
Taxodium distichum,0.46
Diospyros ebenum,0.94
Terminalia superba,0.4
Alphitonia philippinensis,0.35
Heritiera javanica,0.65
Anisoptera costata,0.52
Populus balsamifera,0.34
Populus trichocarpa,0.35
Populus balsamifera,0.34
Diplodiscus paniculatus,0.62
Xanthophyllum excelsum,0.67
Diplodiscus paniculatus,0.62
Pometia pinnata,0.6
Ochroma pyramidale syn. O. lagopus,0.14
Ochroma pyramidale,0.14
Abies amabilis,0.43
Abies balsamea,0.35
Abies lasiocarpa,0.32
Picea engelmannii,0.35
Populus balsamifera,0.34
Abies amabilis,0.43
Abies balsamea,0.35
Abies lasiocarpa,0.32
Myroxylon balsamum,0.83
Protium decandrum,0.54
Protium paraense,0.56
Protium sagotianum,0.56
Melaleuca leucadendron syn. M. quinquenervia,0.72
Populus balsamifera,0.34
Picea rubens,0.4
Liquidambar styraciflua,0.52
Liquidambar styraciflua,0.52
Pinus sylvestris,0.45
Pinus sylvestris,0.45
Pinus sylvestris,0.45
Picea abies,0.43
Picea abies,0.43
Diplodiscus paniculatus,0.62
Diplodiscus paniculatus,0.62
Aglaia gigantea,0.54
Lagerstroemia piriformis,0.67
Heritiera javanica,0.65
Diplodiscus paniculatus,0.62
Triplochiton scleroxylon,0.32
Populus ciliata,0.37
Lagerstroemia piriformis,0.67
Lagerstroemia piriformis,0.67
Lagerstroemia piriformis,0.67
Vitex cofassus,0.67
Iryanthera spp.,0.58
Virola koschnyi,0.51
Virola spp.,0.45
Virola surinamensis,0.51
Aleurites moluccana,0.14
Aleurites moluccana,0.14
Duabanga sonneratioides,0.37
Chlorophora excelsa,0.7
Terminalia procera,0.54
Shorea negrosensis,0.59
Chlorophora excelsa,0.7
Populus ciliata,0.37
Koordersiodendron pinnatum,0.71
Koordersiodendron pinnatum,0.71
Pometia pinnata,0.6
Pygeum turnerianum,0.44
Terminalia ivorensis,0.54
Xanthophyllum excelsum,0.67
Tetramerista glabra,0.73
Khaya nyassica,0.44
Lophira alata,0.94
Pinus banksiana,0.43
Pinus banksiana,0.43
Aleurites moluccana,0.14
Vitex cofassus,0.67
Piptadeniastrum africanum,0.63
Anisoptera costata,0.52
Diospyros virginiana,0.71
Peltogyne porphyrocardia,0.69
Peltogyne venosa,0.69
Xanthophyllum excelsum,0.67
Catostemma fragrans,0.66
Catostemma fragrans,0.66
Catostemma fragrans,0.66
Pouteria izabalensis,0.64
Schinopsis spp.,1.21
Vochysia ferruginea,0.52
Vochysia guianensis,0.52
Vochysia guianensis,0.52
Vochysia ferruginea,0.52
Vochysia guianensis,0.52
Vochysia lehmanni,0.52
Vochysia tomentosa,0.52
Diplodiscus paniculatus,0.62
Micropholis guianensis,0.67
Anisoptera costata,0.52
Byrsonima coriacea,0.68
Byrsonima coriacea,0.68
Diplodiscus paniculatus,0.62
Diplodiscus paniculatus,0.62
Catostemma fragrans,0.66
Diplodiscus paniculatus,0.62
Pterocarpus soyauxii,0.64
Dipteryx odorata,0.82
Diplodiscus paniculatus,0.62
Diplodiscus paniculatus,0.62
Dipteryx odorata,0.82
Pterocarpus soyauxii,0.64
Pometia pinnata,0.6
Dipterocarpus basilanicus,0.54
Dipterocarpus basilanicus,0.54
Aglaia gigantea,0.54
Terminalia ivorensis,0.54
Lagerstroemia piriformis,0.67
Fraxinus nigra,0.49
Ulmus crassifolia,0.62
Diplodiscus paniculatus,0.62
Anisoptera cochinchinensis,0.52
Pinus taeda,0.51
Terminalia ivorensis,0.54
Tilia americana,0.37
Libocedrus decurrens,0.37
Virola koschnyi,0.51
Celtis occidentalis,0.53
Tabebuia serratifolia,0.99
Swietenia macrophylla,0.47
Mammea africana,0.69
Pinus caribaea,0.7
Guibourtia coleosperma,0.66
Excoecaria agallocha,0.42
